series_id,window_size,n_windows,series_length,ARIMA_mae,ARIMA_rmse,ARIMA_valid_predictions,Prophet_mae,Prophet_rmse,Prophet_valid_predictions,Linear_mae,Linear_rmse,Linear_valid_predictions,XGBoost_mae,XGBoost_rmse,XGBoost_valid_predictions,dataset,dataset_name,dataset_type,evaluation_type,LSTM_mae,LSTM_rmse,LSTM_valid_predictions,Transformer_mae,Transformer_rmse,Transformer_valid_predictions
random_walk_4,40,20,120,0.8977827063311883,1.1363670444477096,20.0,1.4565187546991702,1.728590142618821,20.0,1.2078011584547055,1.607954733195397,20.0,2.277780290850858,2.6693444396416774,20.0,random_walk,Synthetic - Random Walk,synthetic,traditional,,,,,,
random_walk_0,40,10,120,,,,,,,,,,,,,random_walk,Synthetic - Random Walk,synthetic,neural,0.9890953152308437,1.1235530668069995,10.0,0.7581493938084091,1.0413581933767646,10.0
random_walk_1,40,10,120,,,,,,,,,,,,,random_walk,Synthetic - Random Walk,synthetic,neural,1.1256651659588293,1.2768870517412674,10.0,1.445793238241631,1.846951489031963,10.0
random_walk_2,40,10,120,,,,,,,,,,,,,random_walk,Synthetic - Random Walk,synthetic,neural,1.6211947434681275,1.7420143950182325,10.0,1.0475862781215164,1.2631006935610853,10.0
retail_sales_0,100,20,1168,15.528515689111526,18.42235728809743,20.0,13.442132102372096,17.163073152672016,20.0,14.15979841769493,20.144204075262454,20.0,15.695816518635842,19.055489364670024,20.0,retail_sales,Real-World - Retail Sales,real_world,traditional,,,,,,
retail_sales_1,100,20,1117,10.20574079822852,12.920447031828333,20.0,11.021267880222831,14.179864471087438,20.0,14.847285170545579,19.285442045245794,20.0,11.046043005799056,13.641068767360752,20.0,retail_sales,Real-World - Retail Sales,real_world,traditional,,,,,,
retail_sales_2,100,20,1168,11.334271555741026,13.765610128895345,20.0,15.719790956293306,18.87469095868078,20.0,21.326027982525027,25.556218658577784,20.0,11.90125774726009,15.377278860337205,20.0,retail_sales,Real-World - Retail Sales,real_world,traditional,,,,,,
retail_sales_3,100,20,1110,16.119267810907818,20.695756956363255,20.0,11.761363235719681,14.868593186149509,20.0,19.85753734781385,25.584058470487417,20.0,16.445899603450716,20.013273154813167,20.0,retail_sales,Real-World - Retail Sales,real_world,traditional,,,,,,
retail_sales_4,100,20,1168,12.035655019682903,15.407054850202849,20.0,22.393202368697377,26.751426706245912,20.0,29.041726101491395,34.93109043478762,20.0,16.292517620746136,22.18263129410216,20.0,retail_sales,Real-World - Retail Sales,real_world,traditional,,,,,,
retail_sales_0,100,10,1168,,,,,,,,,,,,,retail_sales,Real-World - Retail Sales,real_world,neural,19.025555765078714,23.11852030554021,10.0,13.254231453033075,16.234089080050225,10.0
retail_sales_1,100,10,1117,,,,,,,,,,,,,retail_sales,Real-World - Retail Sales,real_world,neural,11.999527945665545,13.904493040750758,10.0,11.860572836595205,14.656009642452007,10.0
retail_sales_2,100,10,1168,,,,,,,,,,,,,retail_sales,Real-World - Retail Sales,real_world,neural,18.805461314666406,20.072723923456,10.0,14.156259015878458,16.958402768466904,10.0
energy_consumption_0,100,20,63092,2.8319474658782324,3.6237786265754672,20.0,213.2538332386004,234.27775676256047,20.0,213.89485879260891,235.33033394889526,20.0,53.22202993441156,74.54665949979612,20.0,energy_consumption,Real-World - Energy Consumption,real_world,traditional,,,,,,
energy_consumption_1,100,20,63092,2.6535696686343213,3.535732704184122,20.0,217.59614014815006,240.44655260204814,20.0,217.01313361070964,239.25458950812805,20.0,52.25506636737034,75.62382363909398,20.0,energy_consumption,Real-World - Energy Consumption,real_world,traditional,,,,,,
energy_consumption_2,100,20,63092,3.083818070051552,3.788802632363996,20.0,217.5415802877338,239.64233197722723,20.0,215.11182870986536,237.51647045290392,20.0,56.26164745726876,81.21647882936338,20.0,energy_consumption,Real-World - Energy Consumption,real_world,traditional,,,,,,
